source_module	status	dashi_targets	remaining_gap
Archimedes369	unported	none	requires constructed pi/trigonometric/order/limit substrate; polygon sandwich, doubling ladder, exact rungs, nine-gon cubic/enclosure and limits remain
ArchimedesNinetySix	unported	none	96-gon interval propagation and 223/71 < pi < 22/7 remain; blocked by constructive pi/trigonometric/order layer
ArchimedesSpin	unported	none	polar radius GLB/LUB, swept annulus, frustum/revolution volume, convergence and modular-circle polygon symmetry remain
BaseGeneral	partial	DASHI.Arithmetic.DecimalDigitalRootNonaryExact;DASHI.Arithmetic.AristotleTeslaBaseNonaryOrbitExact;DASHI.Foundations.PhaseQuotientNonaryGroupSeparationExact	generic base-acts-as-one quotient principle and exact ZMod9 doubling orbit partition 1+2+6 are ported; generic base-b digitalRoot/trinity cardinality/minimal-base theorem and general base power-period theorem remain
DeltaGraph	partial	DASHI.Moonshine.RamanujanTauHecke23Exact;DASHI.Analysis.FiniteRealQSeriesReflectionExact	selected tau identities and finite-q symmetry substrate ported; eta-product coefficient construction, tau table through 30, finite Ramanujan bound, mod-27 congruence, sigma equivalence, and plotted q-approx bounds remain
DeltaModular	partial	DASHI.Moonshine.EisensteinDiscriminantWeight12Exact;DASHI.Moonshine.ModularCurveJFrickeInterfaceExact	weight-12 transformation of unnormalised E4^3-E6^2 derived from existing Eisenstein law; true eta^24 Delta, nonvanishing/holomorphy, E2/log-derivative proof, S/T normalization, conjugation/unit-circle reflection and arc phase theorem remain
DeltaWordGraphs	partial	DASHI.Moonshine.ClassicalHeckeWeightKSmallWordExact;DASHI.Moonshine.Hecke23AntiparallelExact;DASHI.Moonshine.AristotleDeltaWordT2T3FiniteParityExact	five source word multipliers and the certified m=1..3 T2/T3 comparison rows are ported; 60-term tau table, wider finite-range coefficient equalities, divisibility/trinity, norm/log/phase graph theorems remain
FibVortex	near-core-parity	DASHI.Arithmetic.FibonacciNonaryPeriodExact;DASHI.Arithmetic.AristotleFibVortexParityExact	exact mod9 state period 24, minimality, every-fourth triadic residues, and 24-cycle positive digital-root sum 117 are ported; source Nat fib/digitalRoot theorem packaging remains
Hecke23	substantial-core	DASHI.Moonshine.AristotleHeckeRecurrenceCoreExact;DASHI.Moonshine.RamanujanTauHecke23Exact;DASHI.Moonshine.ClassicalHeckeWeightKSmallWordExact	prime-power recurrence uniqueness and exact two-prime smooth assembly are ported together with low closed identities; full Nat HeckeSystem coprime packaging, divisor-count example, and source Set Smooth3 packaging remain
HeckeGeneral	partial	DASHI.Moonshine.AristotleHeckeRecurrenceCoreExact;DASHI.Moonshine.AristotleHeckeGeneralPrimePowerDecompositionExact;DASHI.Moonshine.CandidateLevelRepresentationHeckeSquareExact	stdlib constructive raw factorisation plus arbitrary-S closure on pairwise-coprime prime-power decompositions are ported; canonical grouping of raw repeated prime factors into prime-power blocks, finite separating bound, and a_zero_undetermined remain
HeckeWords	substantial-core	DASHI.Moonshine.ClassicalHeckeWeightKSmallWordExact;DASHI.Moonshine.AristotleHeckeWordsSourceParityExact;DASHI.Moonshine.RamanujanTauHecke23Exact	recursive finite word interpreter and all five source word normal forms are ported over the classical divisor-sum structure constants; generic CommRing/Finsupp evaluation presentation remains representation-distinct and source evalT packaging remains
Main	aggregate-only	DASHI.Arithmetic.AristotleArithmeticEverything;DASHI.Moonshine.OggRepresentationReductionEverything	source Main is import aggregator with no named declarations; DASHI aggregation exists but is not intended as theorem parity
Sieve23	substantial-core	DASHI.Arithmetic.PrimeModSixSieveExact;DASHI.Arithmetic.SixWheelSieveCountExact;DASHI.Arithmetic.SixWheelCRTExact	exact 6-wheel residue/count/CRT and prime >3 +/-1 mod6 core ported; source prime_digitalRoot and original Finset presentation not yet parity
SieveGeneral	partial	DASHI.Arithmetic.FinitePrimeProductSieveExact	generic product-coordinate survivor count ported; source arbitrary finite-prime modulus, periodic block count, coprime/totient identification, and density formula remain
T2vsT3	partial	DASHI.Moonshine.Hecke23AntiparallelExact;DASHI.Moonshine.AristotleDeltaWordT2T3FiniteParityExact	division-free antiparallel relation plus certified m=1..3 product/difference/Lean-integer quotient/remainder plate are ported; wider finite table, power and trinity behavior remain
T2vsT3Delta	minimal-partial	DASHI.Moonshine.Hecke23AntiparallelExact;DASHI.Analysis.FiniteRealQSeriesReflectionExact	generic q-series substrate exists, but six panel identities, masks/splits, non-rescaling proofs and logarithmic power panel are not ported
Tesla369	partial	DASHI.Arithmetic.DecimalDigitalRootNonaryExact;DASHI.Arithmetic.AristotleTeslaBaseNonaryOrbitExact;Base369;DASHI.Foundations.Base369NonaryTruthRing	casting-out-nines core, 1..9<->Z/9 chart, exact minimal six-step doubling cycle, triadic exclusion, and unit-orbit exhaustion are ported; Nat recursive digitalRoot/repeatedDigitSum and trinity generation/closure remain
VerticalWalls	partial	DASHI.Analysis.FiniteRealQSeriesReflectionExact	real-coefficient finite-q conjugation/reflection and fixed-phase real-axis core ported; half-integer wall classification, zero-free phase constancy, derivative/gradient/orthogonality, and y>=5 Delta sign bounds remain
BaseGeneral	partial	DASHI.Arithmetic.DecimalDigitalRootNonaryExact;DASHI.Foundations.PhaseQuotientNonaryGroupSeparationExact	generic base-acts-as-one quotient principle present, but base-b digitalRoot/trinity cardinality/minimal-base theorem and ZMod9 vortex orbit partition/cardinalities are not source-parity
DeltaWordGraphs	partial	DASHI.Moonshine.ClassicalHeckeWeightKSmallWordExact;DASHI.Moonshine.Hecke23AntiparallelExact	word multipliers/algebraic normalization partly ported; 60-term certified tau table, finite-range coefficient equalities, divisibility/trinity, norm/log/phase graph theorems remain
FibVortex	near-core-parity	DASHI.Arithmetic.FibonacciNonaryPeriodExact	exact mod9 state period 24, minimality and every-fourth triadic residues ported; source Nat fib digitalRoot statement packaging and cycle-sum theorem remain
Hecke23	partial	DASHI.Moonshine.RamanujanTauHecke23Exact;DASHI.Moonshine.ClassicalHeckeWeightKSmallWordExact	small Hecke recurrences/closed identities ported; abstract HeckeSystem, smooth uniqueness, satisfiable divisor-count example, and trinity_smooth remain
HeckeGeneral	unported-core	DASHI.Moonshine.CandidateLevelRepresentationHeckeSquareExact	candidate/intertwiner boundary exists, but S-smooth uniqueness, all-prime determination, finite separating bound, and a_zero_undetermined are not ported
HeckeWords	partial	DASHI.Moonshine.ClassicalHeckeWeightKSmallWordExact;DASHI.Moonshine.RamanujanTauHecke23Exact	small word normalization/eigenvalue identities ported; full finitely-supported Hecke algebra multiplication/evaluation surface and all source polynomials remain
T2vsT3	partial	DASHI.Moonshine.Hecke23AntiparallelExact	division-free antiparallel relation and selected multiplier facts ported; product/difference/quotient/power/remainder finite-table and trinity behavior mostly remain
Tesla369	partial	DASHI.Arithmetic.DecimalDigitalRootNonaryExact;Base369;DASHI.Foundations.Base369NonaryTruthRing	casting-out-nines core and 1..9<->Z/9 chart ported; Nat recursive digitalRoot/repeatedDigitSum, trinity generation/closure, and exact doubling 6-cycle theorem not yet source-parity
ArchimedesNinetySix	partial	DASHI.Foundations.BishopMachinPiArchimedesWindowExact	headline numerical enclosure 223/71 < bishopMachinPi < 22/7 is proved on the actual convergent Bishop Machin real; source 96-gon interval propagation and geometric/trigonometric identification of that real with pi remain
Hecke23	substantial-core	DASHI.Moonshine.AristotleHeckeRecurrenceCoreExact;DASHI.Moonshine.AristotleHecke23Smooth3ParityExact;DASHI.Moonshine.RamanujanTauHecke23Exact;DASHI.Moonshine.ClassicalHeckeWeightKSmallWordExact	prime-power recurrence uniqueness, exact two-prime smooth assembly, and the source Smooth3 carrier with 3/6/9 witnesses are ported together with low closed identities; full Nat HeckeSystem coprime packaging and divisor-count example remain
HeckeGeneral	partial	DASHI.Moonshine.AristotleHeckeRecurrenceCoreExact;DASHI.Moonshine.AristotleHeckeGeneralPrimePowerDecompositionExact;DASHI.Moonshine.AristotleHeckeGeneralZeroUpdateExact;DASHI.Moonshine.CandidateLevelRepresentationHeckeSquareExact	stdlib constructive raw factorisation plus arbitrary-S closure on pairwise-coprime prime-power decompositions and the source a(0)-undetermined update theorem are ported; canonical grouping of repeated raw prime factors into prime-power blocks and the finite separating-bound theorem remain
